17:55:16  |  Platform  |  Info  |  * Initialise: RenderManager  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/Platforms/Ogre/OgrePlatform/src/MyGUI_OgreRenderManager.cpp  |  43
17:55:16  |  Platform  |  Info  |  RenderManager successfully initialized  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/Platforms/Ogre/OgrePlatform/src/MyGUI_OgreRenderManager.cpp  |  71
17:55:16  |  Platform  |  Info  |  * Initialise: DataManager  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/Platforms/Ogre/OgrePlatform/src/MyGUI_OgreDataManager.cpp  |  27
17:55:16  |  Platform  |  Info  |  DataManager successfully initialized  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/Platforms/Ogre/OgrePlatform/src/MyGUI_OgreDataManager.cpp  |  35
17:55:16  |  Core  |  Info  |  * Initialise: Gui  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_Gui.cpp  |  61
17:55:16  |  Core  |  Info  |  * MyGUI version 3.2.1.Unversioned directory  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_Gui.cpp  |  68
17:55:16  |  Core  |  Info  |  * Initialise: ResourceManager  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  32
17:55:16  |  Core  |  Info  |  ResourceManager successfully initialized  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  40
17:55:16  |  Core  |  Info  |  * Initialise: LayerManager  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  33
17:55:16  |  Core  |  Info  |  LayerManager successfully initialized  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  41
17:55:16  |  Core  |  Info  |  * Initialise: WidgetManager  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_WidgetManager.cpp  |  53
17:55:16  |  Core  |  Info  |  WidgetManager successfully initialized  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_WidgetManager.cpp  |  84
17:55:16  |  Core  |  Info  |  * Initialise: InputManager  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_InputManager.cpp  |  46
17:55:16  |  Core  |  Info  |  InputManager successfully initialized  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_InputManager.cpp  |  66
17:55:16  |  Core  |  Info  |  * Initialise: SubWidgetManager  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_SubWidgetManager.cpp  |  36
17:55:16  |  Core  |  Info  |  SubWidgetManager successfully initialized  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_SubWidgetManager.cpp  |  56
17:55:16  |  Core  |  Info  |  * Initialise: SkinManager  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_SkinManager.cpp  |  36
17:55:16  |  Core  |  Info  |  SkinManager successfully initialized  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_SkinManager.cpp  |  46
17:55:16  |  Core  |  Info  |  * Initialise: FontManager  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_FontManager.cpp  |  32
17:55:16  |  Core  |  Info  |  FontManager successfully initialized  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_FontManager.cpp  |  42
17:55:16  |  Core  |  Info  |  * Initialise: ControllerManager  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_ControllerManager.cpp  |  32
17:55:16  |  Core  |  Info  |  ControllerManager successfully initialized  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_ControllerManager.cpp  |  40
17:55:16  |  Core  |  Info  |  * Initialise: PointerManager  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_PointerManager.cpp  |  43
17:55:16  |  Core  |  Info  |  PointerManager successfully initialized  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_PointerManager.cpp  |  62
17:55:16  |  Core  |  Info  |  * Initialise: ClipboardManager  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_ClipboardManager.cpp  |  32
17:55:16  |  Core  |  Info  |  ClipboardManager successfully initialized  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_ClipboardManager.cpp  |  39
17:55:16  |  Core  |  Info  |  * Initialise: LayoutManager  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_LayoutManager.cpp  |  28
17:55:16  |  Core  |  Info  |  LayoutManager successfully initialized  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_LayoutManager.cpp  |  35
17:55:16  |  Core  |  Info  |  * Initialise: DynLibManager  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_DynLibManager.cpp  |  26
17:55:16  |  Core  |  Info  |  DynLibManager successfully initialized  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_DynLibManager.cpp  |  30
17:55:16  |  Core  |  Info  |  * Initialise: PluginManager  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_PluginManager.cpp  |  30
17:55:16  |  Core  |  Info  |  PluginManager successfully initialized  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_PluginManager.cpp  |  34
17:55:16  |  Core  |  Info  |  * Initialise: LanguageManager  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_LanguageManager.cpp  |  30
17:55:16  |  Core  |  Info  |  LanguageManager successfully initialized  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_LanguageManager.cpp  |  34
17:55:16  |  Core  |  Info  |  * Initialise: FactoryManager  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_FactoryManager.cpp  |  25
17:55:16  |  Core  |  Info  |  FactoryManager successfully initialized  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_FactoryManager.cpp  |  27
17:55:16  |  Core  |  Info  |  * Initialise: ToolTipManager  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_ToolTipManager.cpp  |  33
17:55:16  |  Core  |  Info  |  ToolTipManager successfully initialized  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_ToolTipManager.cpp  |  45
17:55:16  |  Core  |  Info  |  Gui successfully initialized  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_Gui.cpp  |  119
17:55:16  |  Core  |  Info  |  Load ini file 'skins.xml'  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
17:55:16  |  Core  |  Info  |  Load ini file 'core.skin'  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
17:55:16  |  Core  |  Info  |  Load ini file 'openmw_resources.xml'  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
17:55:16  |  Core  |  Info  |  Load ini file 'openmw_font.xml'  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
17:55:16  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'MonoFont' using texture size 256 x 128.  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  769
17:55:16  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'MonoFont' using real height 14 pixels.  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  770
17:55:16  |  Core  |  Info  |  Load ini file 'openmw_text.skin.xml'  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
17:55:16  |  Core  |  Info  |  Load ini file 'openmw_windows.skin.xml'  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
17:55:16  |  Core  |  Info  |  Load ini file 'openmw_button.skin.xml'  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
17:55:16  |  Core  |  Info  |  Load ini file 'openmw_list.skin.xml'  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
17:55:16  |  Core  |  Info  |  Load ini file 'openmw_edit.skin.xml'  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
17:55:16  |  Core  |  Info  |  Load ini file 'openmw_box.skin.xml'  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
17:55:16  |  Core  |  Info  |  Load ini file 'openmw_progress.skin.xml'  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
17:55:16  |  Core  |  Info  |  Load ini file 'openmw_hud_energybar.skin.xml'  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
