21:41:22  |  Platform  |  Info  |  * Initialise: RenderManager  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/Platforms/Ogre/OgrePlatform/src/MyGUI_OgreRenderManager.cpp  |  43
21:41:22  |  Platform  |  Info  |  RenderManager successfully initialized  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/Platforms/Ogre/OgrePlatform/src/MyGUI_OgreRenderManager.cpp  |  71
21:41:22  |  Platform  |  Info  |  * Initialise: DataManager  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/Platforms/Ogre/OgrePlatform/src/MyGUI_OgreDataManager.cpp  |  27
21:41:22  |  Platform  |  Info  |  DataManager successfully initialized  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/Platforms/Ogre/OgrePlatform/src/MyGUI_OgreDataManager.cpp  |  35
21:41:22  |  Core  |  Info  |  * Initialise: Gui  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_Gui.cpp  |  61
21:41:22  |  Core  |  Info  |  * MyGUI version 3.2.1.Unversioned directory  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_Gui.cpp  |  68
21:41:22  |  Core  |  Info  |  * Initialise: ResourceManager  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  32
21:41:22  |  Core  |  Info  |  ResourceManager successfully initialized  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  40
21:41:22  |  Core  |  Info  |  * Initialise: LayerManager  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  33
21:41:22  |  Core  |  Info  |  LayerManager successfully initialized  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  41
21:41:22  |  Core  |  Info  |  * Initialise: WidgetManager  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_WidgetManager.cpp  |  53
21:41:22  |  Core  |  Info  |  WidgetManager successfully initialized  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_WidgetManager.cpp  |  84
21:41:22  |  Core  |  Info  |  * Initialise: InputManager  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_InputManager.cpp  |  46
21:41:22  |  Core  |  Info  |  InputManager successfully initialized  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_InputManager.cpp  |  66
21:41:22  |  Core  |  Info  |  * Initialise: SubWidgetManager  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_SubWidgetManager.cpp  |  36
21:41:22  |  Core  |  Info  |  SubWidgetManager successfully initialized  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_SubWidgetManager.cpp  |  56
21:41:22  |  Core  |  Info  |  * Initialise: SkinManager  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_SkinManager.cpp  |  36
21:41:22  |  Core  |  Info  |  SkinManager successfully initialized  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_SkinManager.cpp  |  46
21:41:22  |  Core  |  Info  |  * Initialise: FontManager  |  /var/tmp/portage/dev-games/mygui-3.2.1/work/mygui-MyGUI3.2.1/MyGUIEngine/src/MyGUI_FontManager.cpp  |  32
